plate,well,image,model_count,mcount_count,nice_count,true_count,has_invalid_segment,abs_pct_error,signed_pct_error,mcount_abs_pct_error,mcount_signed_pct_error,nice_abs_pct_error,nice_signed_pct_error,is_training_well
image_3,E1,image_3__E1.jpg,43,39,32,44,False,2.272727272727273,-2.272727272727273,11.363636363636363,-11.363636363636363,27.27272727272727,-27.27272727272727,False
image_3,E2,image_3__E2.jpg,47,44,32,41,True,,,,,,,False
image_3,E3,image_3__E3.jpg,54,51,39,54,False,0.0,0.0,5.555555555555555,-5.555555555555555,27.77777777777778,-27.77777777777778,False
image_3,E4,image_3__E4.jpg,42,40,30,24,True,,,,,,,False
image_3,E5,image_3__E5.jpg,61,56,42,59,True,,,,,,,False
image_3,E6,image_3__E6.jpg,46,44,32,36,True,,,,,,,False
image_3,E7,image_3__E7.jpg,40,36,29,33,True,,,,,,,False
image_3,E8,image_3__E8.jpg,54,48,33,48,True,,,,,,,False
image_3,E9,image_3__E9.jpg,51,49,36,39,True,,,,,,,False
image_3,E10,image_3__E10.jpg,26,28,22,24,True,,,,,,,False
image_3,E11,image_3__E11.jpg,47,44,31,32,True,,,,,,,False
image_3,E12,image_3__E12.jpg,39,39,31,38,True,,,,,,,False
image_3,F1,image_3__F1.jpg,60,51,34,54,True,,,,,,,False
image_3,F2,image_3__F2.jpg,61,55,39,43,True,,,,,,,False
image_3,F3,image_3__F3.jpg,47,44,27,41,True,,,,,,,False
image_3,F4,image_3__F4.jpg,46,47,32,44,True,,,,,,,False
image_3,F5,image_3__F5.jpg,48,44,31,46,False,4.3478260869565215,4.3478260869565215,4.3478260869565215,-4.3478260869565215,32.608695652173914,-32.608695652173914,False
image_3,F6,image_3__F6.jpg,34,32,23,27,True,,,,,,,False
image_3,F7,image_3__F7.jpg,37,36,30,33,True,,,,,,,False
image_3,F8,image_3__F8.jpg,47,44,30,29,True,,,,,,,False
image_3,F9,image_3__F9.jpg,49,45,37,40,True,,,,,,,False
image_3,F10,image_3__F10.jpg,54,46,33,48,True,,,,,,,False
image_3,F11,image_3__F11.jpg,40,35,28,32,True,,,,,,,False
image_3,F12,image_3__F12.jpg,34,32,28,17,True,,,,,,,False
image_3,G1,image_3__G1.jpg,57,51,40,43,True,,,,,,,False
image_3,G2,image_3__G2.jpg,46,42,27,47,False,2.127659574468085,-2.127659574468085,10.638297872340425,-10.638297872340425,42.5531914893617,-42.5531914893617,False
image_3,G3,image_3__G3.jpg,45,45,28,46,False,2.1739130434782608,-2.1739130434782608,2.1739130434782608,-2.1739130434782608,39.130434782608695,-39.130434782608695,False
image_3,G4,image_3__G4.jpg,52,44,33,50,True,,,,,,,False
image_3,G5,image_3__G5.jpg,66,53,43,29,True,,,,,,,False
image_3,G6,image_3__G6.jpg,57,50,36,35,True,,,,,,,False
image_3,G7,image_3__G7.jpg,44,44,32,37,True,,,,,,,False
image_3,G8,image_3__G8.jpg,43,44,33,37,True,,,,,,,False
image_3,G9,image_3__G9.jpg,49,52,34,41,True,,,,,,,False
image_3,G10,image_3__G10.jpg,39,35,24,33,True,,,,,,,False
image_3,G11,image_3__G11.jpg,39,38,32,35,True,,,,,,,False
image_3,G12,image_3__G12.jpg,42,42,32,38,True,,,,,,,False
image_3,H1,image_3__H1.jpg,48,40,33,25,True,,,,,,,False
image_3,H2,image_3__H2.jpg,45,46,37,48,False,6.25,-6.25,4.166666666666666,-4.166666666666666,22.916666666666664,-22.916666666666664,False
image_3,H3,image_3__H3.jpg,50,44,37,35,True,,,,,,,False
image_3,H4,image_3__H4.jpg,55,53,39,50,True,,,,,,,False
image_3,H5,image_3__H5.jpg,51,50,40,47,True,,,,,,,False
image_3,H6,image_3__H6.jpg,61,57,41,48,True,,,,,,,False
image_3,H7,image_3__H7.jpg,51,51,34,47,True,,,,,,,False
image_3,H8,image_3__H8.jpg,55,49,39,54,True,,,,,,,False
image_3,H9,image_3__H9.jpg,44,38,32,39,True,,,,,,,False
image_3,H10,image_3__H10.jpg,43,43,35,43,False,0.0,0.0,0.0,0.0,18.6046511627907,-18.6046511627907,False
image_3,H11,image_3__H11.jpg,47,44,33,35,True,,,,,,,False
